full_visitor_id,visit_id,channel_grouping,transactions,revenue
0000020424342248747,1480578901,Organic Search,0,0.0
0000027376579751715,1486866293,Organic Search,0,0.0
0000040862739425590,1486836571,Paid Search,0,0.0
0000040862739425590,1486838824,Paid Search,0,0.0
0000174067426171406,1478846641,Organic Search,0,0.0
0000174067426171406,1478927157,Organic Search,0,0.0
0000176652019531658,1484597865,Social,0,0.0
000033471059618621,1480289088,Social,0,0.0
0000388388833742701,1480256233,Social,0,0.0
0000426241577666985,1479449976,Social,0,0.0
0000485418944539313,1480509787,Organic Search,0,0.0
0000485418944539313,1487159075,Organic Search,0,0.0
0000496879625382660,1487604659,Social,0,0.0
0000500012543476818,1482465548,Referral,0,0.0
0000538867824729259,1480506515,Direct,0,0.0
0000543175149799625,1485675517,Social,0,0.0
0000596526477588172,1486689462,Organic Search,0,0.0
0000613897283848534,1483595731,Referral,0,0.0
0000641787877778885,1483629067,Organic Search,0,0.0
0000649777500417577,1478111949,Organic Search,0,0.0
0000649777500417577,1478286459,Organic Search,0,0.0
0000677695778949032,1480346820,Direct,0,0.0
0000677695778949032,1480643866,Direct,0,0.0
0000677695778949032,1486011107,Referral,0,0.0
000072202462202136,1484513468,Organic Search,0,0.0
0000750929315523353,1486157741,Organic Search,0,0.0
0000786859828288100,1480755591,Social,0,0.0
000082001414223176,1480566887,Organic Search,0,0.0
0000837258363541233,1486230015,Direct,0,0.0
000084172700693338,1480997717,Social,0,0.0
0000868642619324829,1478194102,Organic Search,0,0.0
0000905545967921428,1485891181,Organic Search,0,0.0
0000914374659094152,1478880770,Social,0,0.0
0000945784447887116,1482427692,Organic Search,0,0.0
0001076216361964073,1487278251,Organic Search,0,0.0
0001135797705136475,1479271169,Social,0,0.0
0001156383977201253,1478812505,Organic Search,0,0.0
0001165396754109927,1487761256,Social,0,0.0
0001213046045394417,1481668412,Direct,0,0.0
0001235242196175467,1478054203,Organic Search,0,0.0
0001248080646686957,1486857642,Direct,0,0.0
0001277385672710758,1483569421,Social,0,0.0
0001331947010319592,1479608768,Organic Search,0,0.0
0001331947010319592,1479775577,Organic Search,0,0.0
0001331947010319592,1479924091,Organic Search,0,0.0
0001408570112060324,1478358726,Social,0,0.0
0001459455618502072,1479697776,Organic Search,0,0.0
0001636522687991766,1480693157,Social,0,0.0
0001647474523979513,1484472488,Organic Search,0,0.0
0001697751732723625,1480096079,Organic Search,0,0.0
0001773027863872937,1479199613,Social,0,0.0
0001841185112953535,1482064870,Organic Search,0,0.0
0001858327036304483,1484072990,Organic Search,0,0.0
0001887645980862868,1480310928,Organic Search,0,0.0
0001960337656851524,1478790916,Social,0,0.0
0001991890683572652,1480567906,Social,0,0.0
0002049055576529634,1478761779,Organic Search,0,0.0
0002051879989764781,1483123414,Paid Search,0,0.0
0002113059720701099,1484364153,Organic Search,0,0.0
0002143786952964882,1479704354,Organic Search,0,0.0
0002155305623028630,1482045823,Social,0,0.0
0002226865590795639,1479073864,Direct,0,0.0
0002226865590795639,1479173421,Organic Search,0,0.0
0002226865590795639,1479455592,Organic Search,0,0.0
0002255829369905568,1484911511,Organic Search,0,0.0
0002388540523328376,1479333398,Social,0,0.0
0002438548636224069,1479028691,Organic Search,0,0.0
0002464975309794227,1480942512,Social,0,0.0
0002536169636480704,1478191617,Social,0,0.0
0002746729524999850,1481929924,Organic Search,0,0.0
0002770097844692752,1480302700,Organic Search,0,0.0
000283774309989724,1484658984,Organic Search,0,0.0
0003014074054010999,1481139091,Paid Search,0,0.0
0003014074054010999,1481213355,Paid Search,0,0.0
000302456742233463,1478871072,Social,0,0.0
000302540561900883,1481610074,Organic Search,0,0.0
0003048345911092526,1480613985,Social,0,0.0
000307556418998859,1478253701,Organic Search,0,0.0
0003088359819866188,1487491702,Social,0,0.0
0003190859517651877,1487695916,Social,0,0.0
0003197319725487389,1479230468,Social,0,0.0
000320631645648174,1478879638,Organic Search,0,0.0
0003297619580760716,1483854650,Direct,0,0.0
0003301836205804484,1479167070,Organic Search,0,0.0
0003392229827194243,1481578147,Organic Search,0,0.0
0003455588034794695,1486635048,Organic Search,0,0.0
0003465185842457074,1480803363,Direct,0,0.0
0003466641382018027,1487782705,Organic Search,0,0.0
0003542504412918566,1486453692,Organic Search,0,0.0
0003554472748140179,1482781210,Organic Search,0,0.0
000355878339783044,1486638320,Organic Search,0,0.0
00035794135966385,1484916385,Direct,0,0.0
000358027242270102,1482562866,Organic Search,0,0.0
000358027242270102,1482563151,Paid Search,0,0.0
000358027242270102,1482563174,Organic Search,0,0.0
0003586717489962838,1484648176,Social,0,0.0
0003609386088574800,1478865111,Referral,0,0.0
0003646785541094329,1479670178,Organic Search,0,0.0
0003678736652288155,1485731385,Social,0,0.0
0003754202390878028,1487576339,Organic Search,0,0.0
0003816501532259309,1485140733,Organic Search,0,0.0
0003842812309646950,1482423045,Referral,0,0.0
0003961110741104601,1483405529,Organic Search,0,0.0
